no.,crash_year,crash_month,crash_date,crash_hour,crash_minute,crash_area,crash_country,operator,flight,crash_route_start,crash_route_mid,crash_route_end,type,registration,fuselage_number,aboard,fatalities,ground,summary,crash_reason,survived,crash_survivor,crash_opr_type,lon,lat,
51,1921,4,21,2,0,Mitchel Field,USA,US Aerial Mail Service,NA,NA,NA,NA,De Havilland DH-4,160,NA,2,3,0,NA,miscellaneous,0,dead,Civilian,-73.5984261,40.7238895,
52,1921,4,29,2,0,Cleveland,USA,US Aerial Mail Service,NA,NA,NA,NA,De Havilland DH-4,196,NA,2,3,0,NA,miscellaneous,0,dead,Civilian,-81.6943605,41.49932,
53,1921,5,17,2,0,Rock Springs,USA,US Aerial Mail Service,NA,NA,NA,NA,NA,176,NA,2,3,0,NA,miscellaneous,0,dead,Civilian,-109.2029043,41.5874644,
54,1921,7,16,2,0,San Francisco,USA,US Aerial Mail Service,NA,NA,NA,NA,De Havilland DH-4,222,NA,2,3,0,NA,miscellaneous,0,dead,Civilian,-122.4194155,37.7749295,
55,1921,8,14,2,0,Toulouse,France,Aeropostale,NA,NA,NA,NA,Breguet 14,FALBI,NA,102,103,0,NA,miscellaneous,0,dead,Civilian,1.444209,43.604652,
56,1921,8,24,22,40,River Humber,England,Military - Royal Airship Works,NA,NA,NA,NA,Royal Airship Works ZR-2 (airship),R38,R-38,183,181,1,Crashed due to structural failure followed by two explosions and a fire. Attributed to faulty design.,miscellaneous,2,alive,Military,-0.2252638,53.6543776,
57,1921,9,6,2,0,Paris,France,Franco-Roumaine,NA,Varsovie , Strasbourg , Paris,Potez IX,FADCD,160,187,188,0,Crashed while making an approach to Le Bourget Airport in Paris.,miscellaneous,0,dead,Civilian,2.3522219,48.856614,
58,1921,12,5,2,0,Near Murchinson River,Australia,West Australian Airways,NA,NA,NA,NA,Bristol 28 Tourer,GAUDI,6116,149,147,0,NA,miscellaneous,2,alive,Civilian,118.8390571,-25.877895,
59,1922,1,14,2,0,Paris,France,Handley Page Transport,NA,NA,NA,NA,Handley Page O/10,GEATN,HP-43,187,188,5,Crashed at Le Bourget field.,miscellaneous,0,dead,Civilian,2.3522219,48.856614,
60,1922,2,21,2,0,Near Norfolk,USA,Military - U.S. Army Air Service,NA,NA,NA,NA,Dirigible Roma (airship),NA,NA,182,158,0,Crashed from a height of 500 ft. after experiencing control problems cause by malfunctioning controls.,miscellaneous,24,alive,Military,-76.2858726,36.8507689,
61,1922,4,7,2,0,Grandvilliers,France,Daimler Airways / Grands Express Aeriens,NA,NA,NA,NA,de Havilland DH-18 / Farman F-60 Goliath,GEAOWFGEAD,4,212,220,0,"A midair collision occurred in poor visibility approximately 18 miles north of Beauvais, France. This was the  first commercial midair collision in aviation history. Two killed on the de Havilland, five on the Faman F-60.",technical_failure,0,dead,Civilian,1.939705,49.665342,
62,1922,4,8,2,0,Pao Ting Fou,China,NA,NA,NA,NA,NA,NA,NA,NA,77,82,0,All seventeen aboard were Chinese nationals.,miscellaneous,0,dead,Civilian,-86.1764194,39.7743174,
63,1922,4,13,2,0,Brooklands,United Kingdom,Vickers,NA,NA,NA,NA,Vickers Viking,GEBBZ,NA,149,147,0,NA,miscellaneous,2,alive,Civilian,-0.571324817,51.23380201,
64,1925,10,1,2,0,Nittany Mt,USA,US Aerial Mail Service,NA,NA,NA,NA,De Havilland DH-4,385,NA,2,3,0,NA,miscellaneous,0,dead,Civilian,-77.7731,40.8277,
65,1922,6,3,2,0,Off Folkestone,United Kingdom,Cie des Messageries Aeriennes,NA,NA,NA,NA,Bleriot Spad 27,FCMAY,1254,149,147,0,NA,miscellaneous,2,alive,Civilian,1.169456,51.081397,
66,1922,7,26,2,0,Cadix,Spain,Grands Express Aeriens,NA,NA,NA,NA,Breguet 14,NA,NA,149,147,0,NA,miscellaneous,2,alive,Civilian,-6.2885962,36.5270612,
67,1922,9,7,2,0,Indianapolis,USA,US Aerial Mail Service,NA,NA,NA,NA,De Havilland DH-4,227,NA,2,3,0,NA,miscellaneous,0,dead,Civilian,-86.158068,39.768403,
68,1922,10,2,2,0,Venice,Italy,NA,NA,NA,NA,NA,de Havilland DH-9,GEAYT,NA,176,169,0,NA,miscellaneous,7,alive,Civilian,12.3155151,45.4408474,
69,1922,10,25,2,0,Larache,Morocco,Grands Express Aeriens,NA,NA,NA,NA,Breguet 14,NA,NA,102,103,0,NA,miscellaneous,0,dead,Civilian,-6.1473964,35.1744271,
70,1922,12,3,2,0,Fez,Morocco,Grands Express Aeriens,NA,NA,NA,NA,Breguet 14,NA,NA,2,3,0,NA,miscellaneous,0,dead,Civilian,-5.005345784,34.01670163,
71,1923,1,10,2,0,Ajaccio,France,Amee de l'Air,NA,NA,NA,NA,Lioré-et-Olivier H-13,FAEIB,NA,176,147,0,NA,miscellaneous,29,alive,Civilian,8.738635,41.919229,
72,1923,1,17,2,0,Barcelona,Spain,Grands Express Aeriens,NA,NA,NA,NA,Breguet 14,FALJU,NA,2,3,0,NA,miscellaneous,0,dead,Civilian,-95.9241306,36.0881056,
73,1923,1,18,2,0,Cheyenne,USA,US Aerial Mail Service,NA,NA,NA,NA,De Havilland DH-4,223,NA,2,3,0,NA,miscellaneous,0,dead,Civilian,-104.8202462,41.1399814,
74,1923,2,26,2,0,Meadville,USA,US Aerial Mail Service,NA,NA,NA,NA,De Havilland DH-4,291,NA,2,3,0,NA,miscellaneous,0,dead,Civilian,-80.1514484,41.6414438,
75,1923,5,14,2,0,Monsures,France,Grands Express Aeriens,NA,NA,NA,NA,Farman F-60 Goliath,FAEBY,NA,200,205,0,NA,miscellaneous,0,dead,Civilian,2.17198,49.70958,
76,1923,8,27,2,0,Bucharest,Romania,Campagnie France Roumaine,NA,NA,NA,NA,Blériot Spad 46,FAEGN,NA,102,103,0,NA,miscellaneous,0,dead,Civilian,26.1025384,44.4267674,
77,1923,9,7,2,0,Colton,USA,US Aerial Mail Service,NA,NA,NA,NA,De Havilland DH-4,283,NA,2,3,0,NA,miscellaneous,0,dead,Civilian,-117.3136547,34.0739016,
78,1923,9,14,2,0,Berks,England,Daimler Airways,NA,NA,NA,NA,de Havilland DH-34,GEBBS,29,200,205,0,NA,miscellaneous,0,dead,Civilian,-75.9927652,40.3451566,
79,1923,11,18,2,0,Russia,Russia,CCCP,NA,NA,NA,NA,Junkers F-13,D257,NA,176,103,0,NA,miscellaneous,73,alive,Civilian,105.318756,61.52401,
80,1923,12,6,2,0,Castalia,USA,US Aerial Mail Service,NA,NA,NA,NA,De Havilland DH-4,318,NA,2,3,0,NA,miscellaneous,0,dead,Civilian,-78.0574884,36.0818186,
81,1923,12,23,26,30,Over the Mediterranean Sea,Mediterranean Sea,Military - French Navy,NA,Toulon , Algiers,NA,Zeppelin Dixmunde (airship),L72,NA,191,194,0,"Crashed while on a flight from Toulon, France to Algiers, Algeria.  The last known radio contact reported the ship nearly out of fuel and battling strong winds.  Struck by lightning.",miscellaneous,0,dead,Military,18.0480105,34.5531284,
82,1923,12,24,2,0,Egbert,Wyoming,US Aerial Mail Service,NA,NA,NA,NA,De Havilland DH-4,315,NA,2,3,0,NA,miscellaneous,0,dead,Civilian,-79.760915,44.233676,
83,1924,3,7,2,0,Grampian,USA,US Aerial Mail Service,NA,NA,NA,NA,De Havilland DH-4,327,NA,2,3,0,NA,miscellaneous,0,dead,Civilian,-78.6130821,40.9658931,
84,1924,4,24,2,0,Over the English Channel,United Kingdom,KLM Royal Dutch Airlines,NA,"Lympne, England "," Rotterdam, The Netherlands",NA,Fokker F.III,HNABS,1535,149,147,0,NA,miscellaneous,2,alive,Civilian,-0.357056,50.134664,
85,1924,6,8,2,0,Barranquilla,Colombia,SCADTA,NA,NA,NA,NA,Junkers F-13,A16,NA,149,147,0,NA,miscellaneous,2,alive,Civilian,-74.8069813,11.0041072,
86,1924,8,1,2,0,United States,NA,US Aerial Mail Service,NA,NA,NA,NA,De Havilland DH-4,297,NA,2,3,0,NA,miscellaneous,0,dead,Civilian,-95.712891,37.09024,
87,1924,11,6,2,0,Cabrerolles,France,Grands Express Aeriens,NA,NA,NA,NA,NA,FAFBD,NA,2,3,0,NA,miscellaneous,0,dead,Civilian,3.125343,43.545815,
88,1924,12,21,2,0,Goshen,USA,US Aerial Mail Service,NA,NA,NA,NA,De Havilland DH-4,311,NA,2,3,0,NA,miscellaneous,0,dead,Civilian,-85.8344383,41.5822716,
89,1924,12,24,2,0,Purley,England,Imperial Airways,NA,NA,NA,NA,de Havilland DH-34B,GEBBX,36,223,235,0,"Shortly after taking off, witnesses observed a puff of white smoke after which the plane nose-dived into the ground. Fuel starvation. Captain Stewart and seven passengers were killed in an attempted forced landing.",technical_failure,0,dead,Civilian,-0.119711,51.339228,
90,1925,3,22,2,0,Near Tiflies,USA,Zakavia,NA,NA,NA,NA,Junkers F-13,RRECA,590,187,188,0,NA,miscellaneous,0,dead,Civilian,NA,NA,
91,1925,4,25,2,0,Alicante,Spain,Grands Express Aeriens,NA,NA,NA,NA,Breguet 14,NA,NA,176,169,0,NA,miscellaneous,7,alive,Civilian,-0.4906855,38.3459963,
92,1925,5,25,2,0,Alicante,Spain,Lignes Aeriennes Latecoere,NA,NA,NA,NA,Breguet 14,FAFBB,NA,102,103,0,NA,miscellaneous,0,dead,Civilian,-0.4906855,38.3459963,
93,1925,6,25,2,0,Landrécies,France,KLM Royal Dutch Airlines,NA,NA,NA,NA,Fokker (KLM)  F.III,HNABM,KLM-2,176,169,0,Crashed in poor weather.,natural_cause,7,alive,Civilian,NA,NA,
94,1925,6,26,2,0,Alicante,Spain,Grands Express Aeriens,NA,NA,NA,NA,Lioré-et-Olivier H-13,FAHBH,NA,102,103,0,NA,miscellaneous,0,dead,Civilian,-0.4906855,38.3459963,
95,1925,7,20,2,0,Rosas,Spain,Lignes Aeriennes Latecoere,NA,NA,NA,NA,Breguet 14,FAFBI,NA,2,3,0,NA,miscellaneous,0,dead,Civilian,-97.3515081,37.6084463,
96,1925,7,24,2,0,Budapest, Hungary,CIDNA,NA,NA,NA,NA,Potez IX,NA,NA,2,3,0,NA,miscellaneous,0,dead,Civilian,19.040235,47.497912,
97,1925,9,3,34,30,Caldwell,USA,Military - U.S. Navy,NA,"Lakehurst, NJ "," S.t Louis, MO",NA,Dirigible ZR-1 Shenandoah (airship),ZR1,NA,180,52,0,"The Shenandoah was flying over Southern Ohio when she abruptly encountered violent atmosphericonditions (thunderstorms). Powerful air currents buffeted her so severely that her crew was unable to maintain control. Rising rapidly above her pressure height, then falling and rising again, her hull structure was overstressed amidships, breaking the airship in two. Shenandoah's external control car and two engine cars fell free, carrying the dirigible's commanding officer and several other men to their deaths. The stern section came down nearby, while several men were able to fly the bow section to ground as a free balloon.",miscellaneous,128,alive,Military,-116.6873596,43.6629384,
98,1925,9,7,2,0,Toul,France,CIDNA,NA,NA,NA,NA,NA,NA,NA,149,147,0,NA,miscellaneous,2,alive,Civilian,5.890159,48.678296,
99,1925,11,14,2,0,Off Boulogne-sur-Mer,France,Air Union,NA,NA,NA,NA,Farman F-60 Goliath,FAMFY,NA,102,103,0,NA,miscellaneous,0,dead,Civilian,1.613334,50.725231,
100,1926,2,12,2,0,Montpelier,USA,US Aerial Mail Service,NA,NA,NA,NA,Curtiss Carrier Pigeon,NA,NA,2,3,0,NA,miscellaneous,0,dead,Civilian,-78.1684568,38.2188244,
101,1926,3,8,2,0,Staaken,Germany,Deutche Lufthansa,NA,NA,NA,NA,Junkers F-13,NA,NA,2,3,0,NA,miscellaneous,0,dead,Civilian,13.1415974,52.5325033,
102,1926,5,31,2,0,English Channel,United Kingdom,Air Union,NA,NA,NA,NA,Breguet 14,FADAI,NA,2,3,0,NA,miscellaneous,0,dead,Civilian,-0.357056,50.134664,
103,1926,7,3,2,0,Rossaugpt,Czechoslovakia,Compagnie Internationale de Navigation Aérienne,NA,Paris , Prague,NA,Caudron C-61,FAFBT,5307,212,220,0,Crashed while en route.,miscellaneous,0,dead,Civilian,NA,NA,
104,1926,7,9,2,0,Wolvertem,Belgium,KLM Royal Dutch Airlines,NA,NA,NA,NA,Fokker F-4,HNACC,4759,102,103,0,NA,miscellaneous,0,dead,Civilian,4.30927,50.95088,
105,1926,7,24,2,0,Juist,Germany,Deutsche Lufthansa,NA,NA,NA,NA,Junkers F-13,D272,660,176,169,0,Weather related.,natural_cause,7,alive,Civilian,7.0081631,53.681385,
106,1926,8,18,2,0,Hurst, Kent,Air Union,NA,NA,NA,NA,Bleriot 155,FAIEB,2,176,169,0,Crashed in adverse weather conditions.  Engine failure.,technical_failure,7,alive,Civilian,-97.1705678,32.8234621,
107,1926,9,26,2,0,New York,USA,NA,NA,New York , Paris,NA,Sikorsky S-25,NA,NA,187,103,0,Too much weight caused the landing gear to collapse as the plane took off for Paris on the first trans-Atlantipassenger flight.,technical_failure,84,alive,Civilian,-74.0059728,40.7127753,
108,1926,10,8,2,0,Bueren,Germany,Deutsche Lufthansa,NA,NA,NA,NA,Fokker FG III,D468,1554,176,169,0,Weather related.,natural_cause,7,alive,Civilian,5.5773444,50.6481323,
109,1926,10,21,18,15,English Channel,United Kingdom,Imperial Airways,NA,NA,NA,NA,Handley Page W-10,GEBMS,W10/3,25,1,0,"The plane was on a flight from London to Paris when power was lost to the starboard engine. The aircraft began to lose altitude until it eventually ditched into the sea about 18 miles from the English coast. The plane stayed afloat long enough for the fishing boat Invicta, piloted by Captain Marshall, to rescue all aboard. The plane was named Prince Henry.",miscellaneous,24,alive,Civilian,-0.357056,50.134664,
110,1926,11,11,2,0,Cape Bojador,Morocco,Grands Express Aeriens,NA,NA,NA,NA,Breguet 14,NA,NA,149,147,0,NA,miscellaneous,2,alive,Civilian,-14.4,26.2666667,
111,1926,12,16,2,0,Medford,USA,PacifiAir Transport,NA,NA,NA,NA,Ryan M-1,2,NA,2,3,0,NA,miscellaneous,0,dead,Civilian,-122.8755949,42.3265152,
112,1927,1,12,2,0,Lille,France,KLM Royal Dutch Airlines,NA,NA,NA,NA,Fokker F-VII,HNADH,NA,102,103,0,NA,miscellaneous,0,dead,Civilian,3.057256,50.62925,
113,1927,3,20,2,0,Rabat,Morocco,Grands Express Aeriens,NA,NA,NA,NA,Breguet 14,FALRA,NA,2,3,0,NA,miscellaneous,0,dead,Civilian,-6.8498129,33.9715904,
114,1927,3,24,2,0,Tambo, Qld,Qantas,NA,NA,NA,NA,de Havilland DH-9C,GAUED,86,149,147,0,Stalled at low altitiude on approach to land,miscellaneous,2,alive,Civilian,-95.4857212,30.0539193,
115,1927,4,15,2,0,King Hill,USA,Varney Air Lines,NA,NA,NA,NA,NA,NA,NA,2,3,0,Crashed after an unsuccessful attempt at fly into strong headwinds. The engine quit and the plane nosedived into the ground.,miscellaneous,0,dead,Civilian,-115.2039579,43.0040661,
116,1927,4,22,2,0,Goshen,USA,US Aerial Mail Service,NA,NA,NA,NA,Douglas M-4,626,NA,2,3,0,NA,miscellaneous,0,dead,Civilian,-85.8344383,41.5822716,
117,1927,4,22,2,0,Floh,Germany,Deutsche Lufthansa,NA,NA,NA,NA,Fokker FG III,D729,1567,102,103,0,Engine failure.,technical_failure,0,dead,Civilian,-122.1611732,37.4280521,
118,1927,5,2,2,0,Algiers,Algeria,Air Union,NA,NA,NA,NA,SPCA Meteore 63,NA,NA,149,3,0,NA,miscellaneous,146,alive,Civilian,3.0587561,36.753768,
119,1927,7,27,2,0,Amoneburg,Germany,Deutsche Lufthansa,NA,NA,NA,NA,Junkers F-13,D206,591,187,188,0,Engine failure.,technical_failure,0,dead,Civilian,8.9219942,50.797725,
120,1927,8,22,37,30,Sevenoaks,England,KLM Royal Dutch Airlines,NA,Croydon , Schiphol,NA,Fokker F-VIII,NA,4993,14,3,0,"A broken wire led to the partial loss of the the rudder and a crash landing which resulted in the aircraft striking a tree, killing the flight engineer.",technical_failure,11,alive,Civilian,0.1700642,51.2837642,
121,1927,9,3,2,0,Willington,USA,Colonial Air Transport,NA,NA,NA,NA,Fokker Universal,NA,NA,2,3,0,NA,miscellaneous,0,dead,Civilian,-72.2600655,41.8809434,
